"","unit","playerCount","task","complexity","default_duration","stageId","data.playerIds","score","duration","efficiency"
"2092","3","6","Word Construction","High",3,"gSj6NKL59w6jBJSqr","BTzsFMA2gSidcJ9Qi,angPMYP7anNLQCiFe,bqmN7Z8Wq6cnEvSbS,cXTZBCg73C7Medx2W,mnJTn8FNr5ffmdvn4,uis2KiYiAaiPD9yYE",54.4117647058824,3.02241666666667,18.0027344693978
"2093","3","6","Word Construction","Medium",3,"ve5ryQS6mTz2sMKkM","BTzsFMA2gSidcJ9Qi,angPMYP7anNLQCiFe,bqmN7Z8Wq6cnEvSbS,cXTZBCg73C7Medx2W,mnJTn8FNr5ffmdvn4,uis2KiYiAaiPD9yYE",71.4285714285714,3.0261,23.604167551823
"2094","3","6","Word Construction","Low",3,"zSminckXjCRTSnWmf","BTzsFMA2gSidcJ9Qi,angPMYP7anNLQCiFe,bqmN7Z8Wq6cnEvSbS,cXTZBCg73C7Medx2W,mnJTn8FNr5ffmdvn4,uis2KiYiAaiPD9yYE",74.0740740740741,3.01526666666667,24.5663426366073
"2095","3","1","Divergent Association","High",3,"mCvv5bpkrCGWynhYK","ubcdRpd9dNPABqKBr",85.3599146850965,2.25,37.9377398600429
"2096","3","1","Divergent Association","Medium",3,"RDThFSnP65FTaQY9k","ubcdRpd9dNPABqKBr",83.1738456361341,1.38333333333333,60.1256715441934
"2097","3","1","Divergent Association","Low",3,"dsWwJkXt2L24epr2u","ubcdRpd9dNPABqKBr",86.1817093366216,0.633333333333333,136.076383163087
"2098","3","1","Sudoku","High",5,"TuoaDiu2ZRpGaLixB","ubcdRpd9dNPABqKBr",52,4.96666666666667,10.4697986577181
"2099","3","1","Sudoku","Low",5,"KHXhnEde8tdqzBMAo","ubcdRpd9dNPABqKBr",97.5,2.15,45.3488372093023
"2100","3","1","Sudoku","Medium",5,"ff5ZRjB9uuLPmHiim","ubcdRpd9dNPABqKBr",72.5,4.8,15.1041666666667
"2101","3","1","Guess the Correlation","High",2,"iA5BhMpgHmxgj9esN","ubcdRpd9dNPABqKBr",61,1.78333333333333,34.2056074766355
"2102","3","1","Guess the Correlation","Medium",2,"xAvEKbJhSFcjwTNTw","ubcdRpd9dNPABqKBr",81,1.6,50.625
"2103","3","1","Guess the Correlation","Low",2,"ukqYMdchraP46x4Ns","ubcdRpd9dNPABqKBr",68,1.61666666666667,42.0618556701031
"2104","3","1","Allocating Resources","High",3,"TcshPcENTppvMrFXN","ubcdRpd9dNPABqKBr",70,3.01251666666667,23.2363859674359
"2105","3","1","Allocating Resources","Medium",3,"Pmw47Sjttp5s89shN","ubcdRpd9dNPABqKBr",80,2.56666666666667,31.1688311688312
"2106","3","1","Allocating Resources","Low",3,"X4yB7mLzqsrYXW7pC","ubcdRpd9dNPABqKBr",70,3.01693333333333,23.2023688513723
"2107","3","1","Word Construction","High",3,"c4S68d32xztdazAXi","ubcdRpd9dNPABqKBr",19.1176470588235,2.88333333333333,6.63039782386943
